pupil_id,forename,surname,sex,dob,urn,year_group,ethnicity,metadata_json
P011,Katie,Jones,Female,2012-06-28,100010,Year 7,Mixed White Asian,"{""address"": {""line1"": ""11 Ivy Crescent"", ""city"": ""Canterbury"", ""postcode"": ""CT1 2XB""}, ""contact"": {""parent_name"": ""Emma Jones"", ""phone"": ""07700900011"", ""address"": {""line1"": ""11 Ivy Crescent"", ""city"": ""Canterbury"", ""postcode"": ""CT1 2XB""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 97.5}"
P012,Liam,Garcia,Male,2011-02-15,100012,Year 8,Other,"{""address"": {""line1"": ""16 Pine Close"", ""city"": ""Newcastle"", ""postcode"": ""NE1 4RT""}, ""contact"": {""parent_name"": ""Maria Garcia"", ""address"": {""line1"": ""16 Pine Close"", ""city"": ""Newcastle"", ""postcode"": ""NE1 4RT""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 89.4}"
P013,Mia,Anderson,Female,2013-03-22,100013,Year 6,White British,"{""address"": {""line1"": ""39 Beech Road"", ""city"": ""Oxford"", ""postcode"": ""OX1 3SG""}, ""contact"": {""parent_name"": ""Chris Anderson"", ""phone"": ""07700900013"", ""email"": ""c.anderson@email.com"", ""address"": {""line1"": ""39 Beech Road"", ""city"": ""Oxford"", ""postcode"": ""OX1 3SG""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 92.1}"
P014,Noah,Martinez,Male,2010-11-14,100014,Year 9,Other White,"{""address"": {""line1"": ""22 Laurel Street"", ""city"": ""Cambridge"", ""postcode"": ""CB1 2HU""}, ""contact"": {""parent_name"": ""Ana Martinez"", ""phone"": ""07700900014"", ""address"": {""line1"": ""22 Laurel Street"", ""city"": ""Cambridge"", ""postcode"": ""CB1 2HU""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false, ""attendance_pct"": 86.0}"
P015,Olivia,Lee,Female,2012-02-09,100015,Year 7,asian british,"{""address"": {""line1"": ""8 Juniper Way"", ""city"": ""Bath"", ""postcode"": ""BA1 3NE""}, ""contact"": {""parent_name"": ""James Lee"", ""phone"": ""07700900015"", ""email"": ""j.lee@email.com"", ""address"": {""line1"": ""8 Juniper Way"", ""city"": ""Bath"", ""postcode"": ""BA1 3NE""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 96.3}"
P016,Peter,Clark,Male,2011-08-17,100016,Year 8,White British,"{""address"": {""line1"": ""55 Rowan Drive"", ""city"": ""York"", ""postcode"": ""YO1 6BW""}, ""contact"": {""parent_name"": ""Susan Clark"", ""phone"": ""07700900016"", ""address"": {""line1"": ""55 Rowan Drive"", ""city"": ""York"", ""postcode"": ""YO1 6BW""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 91.5}"
P017,Quinn,Lewis,Female,2013-07-03,100017,Year 6,White British,"{""address"": {""line1"": ""12 Holly Lane"", ""city"": ""Plymouth"", ""postcode"": ""PL1 4DX""}, ""contact"": {""parent_name"": ""Robert Lewis"", ""phone"": ""07700900017"", ""email"": ""r.lewis@email.com"", ""address"": {""line1"": ""12 Holly Lane"", ""city"": ""Plymouth"", ""postcode"": ""PL1 4DX""}}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 76.8}"
P018,Ryan,Walker,Male,2010-04-26,100018,Year 9,"","{""address"": {""line1"": ""34 Poplar Avenue"", ""city"": ""Coventry"", ""postcode"": ""CV1 5FG""}, ""contact"": {""parent_name"": ""Michelle Walker"", ""address"": {""line1"": ""34 Poplar Avenue"", ""city"": ""Coventry"", ""postcode"": ""CV1 5FG""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 93.7}"
P019,Sophie,Hall,Female,2012-09-11,999999,Year 7,White British,"{""address"": {""line1"": ""19 Alder Close"", ""city"": ""London"", ""postcode"": ""SW1 8QR""}, ""contact"": {""parent_name"": ""Mark Hall"", ""phone"": ""07700900019"", ""address"": {""line1"": ""19 Alder Close"", ""city"": ""London"", ""postcode"": ""SW1 8QR""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 94.5}"
P020,Tom,Wright,Male,2011-03-08,100001,Year 8,"","{""address"": {""line1"": ""41 Sycamore Road"", ""city"": ""London"", ""postcode"": ""E2 0PL""}, ""contact"": {""parent_name"": ""Linda Wright"", ""address"": {""line1"": ""41 Sycamore Road"", ""city"": ""London"", ""postcode"": ""E2 0PL""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 81.3}"
P021,Uma,Young,Female,2013-12-25,100002,Year 6,N/A,"{""address"": {""line1"": ""5 Yew Tree Lane"", ""city"": ""Manchester"", ""postcode"": ""M3 4JK""}, ""contact"": {""parent_name"": ""Raj Young"", ""phone"": ""07700900021"", ""address"": {""line1"": ""5 Yew Tree Lane"", ""city"": ""Manchester"", ""postcode"": ""M3 4JK""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 96.8}"
P022,Victor,King,Male,2011-06-14,100005,Year 8,White British,"{""address"": {""line1"": ""27 Hazel Court"", ""city"": ""Bristol"", ""postcode"": ""BS3 1RT""}, ""contact"": {""parent_name"": ""Janet King"", ""phone"": ""07700900022"", ""address"": {""line1"": ""27 Hazel Court"", ""city"": ""Bristol"", ""postcode"": ""BS3 1RT""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 90.2}"
P023,Wendy,Scott,Female,2012-10-05,100019,Year 7,White British,"{""address"": {""line1"": ""15 Walnut Drive"", ""city"": ""Reading"", ""postcode"": ""RG1 2MN""}, ""contact"": {""parent_name"": ""Brian Scott"", ""phone"": ""07700900023"", ""email"": ""b.scott@email.com"", ""address"": {""line1"": ""15 Walnut Drive"", ""city"": ""Reading"", ""postcode"": ""RG1 2MN""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 95.9}"
P024,Xander,Green,Male,2010-08-20,100003,Year 9,White British,"{""address"": {""line1"": ""48 Spruce Way"", ""city"": ""Birmingham"", ""postcode"": ""B12 8EH""}, ""contact"": {""parent_name"": ""Fiona Green"", ""address"": {""line1"": ""48 Spruce Way"", ""city"": ""Birmingham"", ""postcode"": ""B12 8EH""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 73.1}"
P025,Yara,Patel,Female,2013-05-11,100020,Year 6,Asian Indian,"{""address"": {""line1"": ""32 Fern Close"", ""city"": ""Brighton"", ""postcode"": ""BN1 4KJ""}, ""contact"": {""parent_name"": ""Priya Patel"", ""phone"": ""07700900025"", ""email"": ""p.patel@email.com"", ""address"": {""line1"": ""32 Fern Close"", ""city"": ""Brighton"", ""postcode"": ""BN1 4KJ""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 97.1}"
P026,Zach,OBrien,Male,2011-09-28,100021,Year 8,white irish,"{""address"": {""line1"": ""21 Heather Road"", ""city"": ""Exeter"", ""postcode"": ""EX1 3LP""}, ""contact"": {""parent_name"": ""Siobhan OBrien"", ""phone"": ""07700900026"", ""address"": {""line1"": ""21 Heather Road"", ""city"": ""Exeter"", ""postcode"": ""EX1 3LP""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 83.6}"
P027,Amber,Mitchell,Female,2012-05-14,100002,Year 7,White British,"{""address"": {""line1"": ""17 Primrose Lane"", ""city"": ""Manchester"", ""postcode"": ""M5 2DA""}, ""contact"": {""parent_name"": ""Laura Mitchell"", ""phone"": ""07700900027"", ""email"": ""l.mitchell@email.com"", ""address"": {""line1"": ""17 Primrose Lane"", ""city"": ""Manchester"", ""postcode"": ""M5 2DA""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 96.8}"
P028,Ben,Cooper,Male,2011-01-30,100006,Year 8,White British,"{""address"": {""line1"": ""44 Bluebell Way"", ""city"": ""Sheffield"", ""postcode"": ""S3 7HN""}, ""contact"": {""parent_name"": ""Gary Cooper"", ""phone"": ""07700900028"", ""address"": {""line1"": ""44 Bluebell Way"", ""city"": ""Sheffield"", ""postcode"": ""S3 7HN""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 83.0}"
P029,Chloe,Murphy,Female,2013-02-11,100014,Year 6,White British,"{""address"": {""line1"": ""10 Foxglove Road"", ""city"": ""Cambridge"", ""postcode"": ""CB2 1TP""}, ""contact"": {""parent_name"": ""Fiona Murphy"", ""phone"": ""07700900029"", ""email"": ""f.murphy@email.com"", ""address"": {""line1"": ""10 Foxglove Road"", ""city"": ""Cambridge"", ""postcode"": ""CB2 1TP""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 94.9}"
P030,Dylan,Reed,Male,2012-07-19,100020,Year 7,Mixed White Black,"{""address"": {""line1"": ""36 Lavender Close"", ""city"": ""Brighton"", ""postcode"": ""BN2 3SW""}, ""contact"": {""parent_name"": ""Angela Reed"", ""phone"": ""07700900030"", ""address"": {""line1"": ""36 Lavender Close"", ""city"": ""Brighton"", ""postcode"": ""BN2 3SW""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 89.7}"
P007,Grace,Evans,Female,2012-08-12,100006,Year 7,asian,"{""address"": {""line1"": ""6 Rosemary Gardens"", ""city"": ""Sheffield"", ""postcode"": ""S1 2FP""}, ""contact"": {""parent_name"": ""Tom Evans"", ""phone"": ""07700900007"", ""email"": ""t.evans@email.com"", ""address"": {""line1"": ""6 Rosemary Gardens"", ""city"": ""Sheffield"", ""postcode"": ""S1 2FP""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 93.8}"
P002,Bob,Smith,Male,2011-07-22,100001,Year 8,White British,"{""address"": {""line1"": ""7 Cedar Close"", ""city"": ""London"", ""postcode"": ""N1 3PQ""}, ""contact"": {""parent_name"": ""David Smith"", ""phone"": ""07700900002"", ""email"": ""bob.smith@newemail.com"", ""address"": {""line1"": ""7 Cedar Close"", ""city"": ""London"", ""postcode"": ""N1 3PQ""}}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 86.1, ""behaviour_log"": [{""date"": ""2025-05-10"", ""type"": ""merit"", ""notes"": ""Excellent group work""}]}"
P009,Isla,Thomas,Female,2013-04-07,100008,Year 6,White British,"{""address"": {""line1"": ""3 Chestnut Terrace"", ""city"": ""London"", ""postcode"": ""SE1 7RG""}, ""contact"": {""parent_name"": ""Paul Thomas"", ""phone"": ""07700900009"", ""email"": ""p.thomas@email.com"", ""address"": {""line1"": ""3 Chestnut Terrace"", ""city"": ""London"", ""postcode"": ""SE1 7RG""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 94.9, ""medical_notes"": ""Requires glasses for board work""}"
P013,Mia,Anderson,Female,2013-03-22,100013,Year 6,White British,"{""address"": {""line1"": ""39 Beech Road"", ""city"": ""Oxford"", ""postcode"": ""OX1 3SG""}, ""contact"": {""parent_name"": ""Chris Anderson"", ""phone"": ""07700900013"", ""email"": ""c.anderson@email.com"", ""address"": {""line1"": ""39 Beech Road"", ""city"": ""Oxford"", ""postcode"": ""OX1 3SG""}}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 88.4, ""assessment_notes"": ""Below expected standard in maths - intervention recommended""}"
P020,Tom,Wright,Male,2011-03-08,100001,Year 8,"","{""address"": {""line1"": ""41 Sycamore Road"", ""city"": ""London"", ""postcode"": ""E2 0PL""}, ""contact"": {""parent_name"": ""Linda Wright"", ""phone"": ""07700900020"", ""address"": {""line1"": ""41 Sycamore Road"", ""city"": ""London"", ""postcode"": ""E2 0PL""}}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 81.3}"
